,barracks_status_dire,barracks_status_radiant,cluster,cluster_name,dire_score,duration,engine,first_blood_time,flags,game_mode,game_mode_name,human_players,leagueid,lobby_name,lobby_type,match_id,match_seq_num,negative_votes,positive_votes,pre_game_duration,radiant_score,radiant_win,start_time,tower_status_dire,tower_status_radiant,assists,backpack_0,backpack_1,backpack_2,deaths,denies,gold,gold_per_min,gold_spent,hero_damage,hero_healing,hero_id,hero_name,item_0,item_0_name,item_1,item_1_name,item_2,item_2_name,item_3,item_3_name,item_4,item_4_name,item_5,kills,last_hits,leaver_status,leaver_status_description,leaver_status_name,level,player_slot,scaled_hero_damage,scaled_hero_healing,scaled_tower_damage,tower_damage,xp_per_min,id,localized_name,primary_attr,attack_type,carry,jungler,pusher,nuker,disabler,initiator,durable,support,legs
0,0.0,63.0,153.0,Southeast Asia,37.0,2359.0,1.0,11.0,1.0,22.0,Ranked All Pick,10.0,0.0,Ranked,7.0,4023532365.0,3491561396.0,0.0,0.0,90.0,45.0,True,1532516762.0,0.0,2023.0,17.0,0.0,0.0,0.0,11.0,2.0,3617.0,405.0,10065.0,32122.0,0.0,2.0,Axe,127.0,Blade Mail,242.0,Crimson Guard,214.0,Tranquil Boots,1.0,Blink Dagger,46.0,Town Portal Scroll,0.0,11.0,145.0,0.0,"finished match, no abandon",NONE,23.0,131.0,18784.0,0.0,443.0,732.0,577.0,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Axe,str,Melee,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0
